Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer Content,Correct Answer Number
Why does Advantage Actor-Critic (A2C) reduce training time compared to the Reinforce algorithm?,"A2C uses a value function to estimate the advantage, reducing variance compared to Monte Carlo-based Reinforce.","A2C skips action-value function computations, using only state-value functions for updates.",A2C combines Monte Carlo sampling with dynamic programming to bypass trajectory dependency.,A2C replaces all policy updates with a single deterministic update per episode.,"A2C uses a value function to estimate the advantage, reducing variance compared to Monte Carlo-based Reinforce.",1
How does the epsilon parameter in the Epsilon-Greedy Strategy impact Q-Learning’s ability to learn optimal policies?,"A high epsilon ensures extensive exploration, which is critical in the early stages of training.",A high epsilon avoids overfitting by reducing reliance on the Q-function.,"A low epsilon ensures more diverse trajectories, improving state-value coverage.",A low epsilon prevents premature convergence by encouraging more random actions.,"A high epsilon ensures extensive exploration, which is critical in the early stages of training.",1
Why does Q-Learning use the greedy policy for updates while still exploring during training?,The greedy policy ensures that the updates move toward optimal Q-values based on maximum future rewards.,The greedy policy minimizes variance by reducing dependency on stochastic policies.,Exploration during training compensates for the greedy policy’s deterministic action selection.,Greedy updates eliminate the need for Bellman-based calculations.,The greedy policy ensures that the updates move toward optimal Q-values based on maximum future rewards.,1
What is the primary reason Advantage functions are used in A2C instead of raw Q-values?,Advantage functions reduce variance by focusing on relative action quality rather than absolute values.,"Q-values require additional normalization, making them less efficient for training.",Advantage functions eliminate the need for state-value functions in Actor-Critic.,"Q-values cannot be estimated dynamically, unlike Advantage functions.",Advantage functions reduce variance by focusing on relative action quality rather than absolute values.,1
Why is the Bellman equation critical in estimating future rewards in both Q-Learning and A2C?,It recursively decomposes future rewards into immediate rewards and the discounted value of future states.,It simplifies the computation of policies by eliminating the need for action-value functions.,It ensures variance reduction by averaging rewards over complete episodes.,It eliminates the need for exploration in Q-Learning and A2C.,It recursively decomposes future rewards into immediate rewards and the discounted value of future states.,1
What differentiates A2C’s Advantage function from the Q-values used in Q-Learning?,"The Advantage function calculates the relative benefit of actions, whereas Q-values estimate absolute value for state-action pairs.","Q-values require Monte Carlo sampling, while the Advantage function does not.","The Advantage function is derived from TD error, whereas Q-values are not.","Q-values cannot be used for policy updates, while the Advantage function is designed for this purpose.","The Advantage function calculates the relative benefit of actions, whereas Q-values estimate absolute value for state-action pairs.",1
Why does the Advantage function require a state-value function to calculate relative benefits in A2C?,The state-value function provides the baseline against which action values are compared.,It normalizes the action-value function to ensure variance reduction.,It replaces the need for Bellman-based updates in A2C.,It ensures on-policy learning by restricting updates to current states.,The state-value function provides the baseline against which action values are compared.,1
Why is the Epsilon-Greedy Strategy necessary in Q-Learning but not in A2C?,"Q-Learning relies on exploration to discover optimal state-action pairs, while A2C explores naturally through stochastic policies.","A2C directly optimizes actions using Advantage values, bypassing exploration needs.","Epsilon-Greedy encourages on-policy learning, which A2C already implements.",Q-Learning requires additional randomness to offset deterministic Bellman updates.,"Q-Learning relies on exploration to discover optimal state-action pairs, while A2C explores naturally through stochastic policies.",1
What is a key reason Q-Learning is considered an off-policy algorithm?,It updates Q-values using a greedy policy while acting based on an exploratory policy.,It calculates values for all state-action pairs regardless of the current policy.,It alternates between on-policy and off-policy learning during updates.,It does not use a Bellman-based recursive update formula.,It updates Q-values using a greedy policy while acting based on an exploratory policy.,1
What is the primary goal of reducing variance in A2C using Advantage functions?,To stabilize training by improving gradient estimates for policy updates.,To eliminate the need for state-action values in learning.,To simplify the Bellman equation by avoiding recursion.,To ensure policies converge to deterministic actions.,To stabilize training by improving gradient estimates for policy updates.,1
